本日零時到現在累積雨量                                                          
07-NOV-2020 00:00 ～ 07-NOV-2020 23:00                          
      3.0mm 花蓮     花蓮縣花蓮市(第9河川局)             
      3.0mm 排雲     高雄市桃源區                       
      3.0mm 國三N151 苗栗縣苑裡鎮(合作站)                
      3.0mm 臺東茶改 臺東縣鹿野鄉(合作站)                
      3.0mm 竹子湖   臺北市北投區(大地工程處)            
      3.0mm 赤山     屏東縣萬巒鄉                       
      3.0mm 三義     苗栗縣三義鄉                       
      3.0mm 大桶山   新北市新店區(十河局)                
      3.0mm 北港     雲林縣北港鎮                       
      3.0mm 四湖植物 雲林縣四湖鄉(合作站)                
      3.0mm 利吉國小 臺東縣卑南鄉(第8河川局)             
      3.0mm 口湖工作 雲林縣口湖鄉(合作站)                
      3.0mm 五峰站   新竹縣五峰鄉(合作站)                
      3.0mm 新埤     屏東縣新埤鄉                       
      3.0mm 斑鳩分場 臺東縣卑南鄉(合作站)                
      2.5mm 貓空     臺北市文山區(大地工程處)            
      2.5mm 月眉山   花蓮縣壽豐鄉                       
      2.5mm 麥寮     雲林縣麥寮鄉(合作站)                
      2.5mm 水上     嘉義縣水上鄉                       
      2.5mm 後壁     臺南市後壁區                       
      2.5mm 翡翠     新北市新店區(翡翠水庫)              
      2.5mm 土城     新北市土城區                       
      2.5mm 太平山   宜蘭縣大同鄉                       
      2.5mm 雲林東勢 雲林縣東勢鄉                       
      2.5mm 天祥     花蓮縣秀林鄉                       
      2.5mm 大坑     花蓮縣壽豐鄉                       
      2.5mm 九棚     屏東縣牡丹鄉                       
      2.5mm 中興     花蓮縣壽豐鄉                       
      2.5mm 墾雷     屏東縣恆春鎮                       
      2.5mm 金門     金門縣金城鎮(氣象站)                
      2.5mm 復興     桃園市復興區                       
      2.5mm 水試所知 臺東縣臺東市                       
      2.5mm 新營     臺南市新營區                       
      2.5mm 臺西     雲林縣臺西鄉                       
      2.0mm 南山     宜蘭縣大同鄉(第1河川局)             
      2.0mm 泰安     苗栗縣泰安鄉                       
      2.0mm 初鹿國中 臺東縣卑南鄉(水保局)                
      2.0mm 汐止     新北市汐止區                       
      2.0mm 吉東     高雄市美濃區                       
      2.0mm 溪口國小 花蓮縣壽豐鄉(水保局)                
      2.0mm 恆春     屏東縣恆春鎮(氣象站)                
      2.0mm 竹子湖   臺北市北投區(氣象站)                
      2.0mm 大屯山   臺北市北投區                       
      2.0mm 南澳     宜蘭縣南澳鄉                       
      2.0mm 西丘斯山 新竹縣尖石鄉(石門水庫)              
      2.0mm 旗南農改 高雄市旗山區(合作站)                
      2.0mm 臺西水試 雲林縣臺西鄉(合作站)                
      2.0mm 國一N142 苗栗縣銅鑼鄉(合作站)                
      2.0mm 樟林     宜蘭縣南澳鄉(第1河川局)             
      2.0mm 東華     花蓮縣壽豐鄉                       
      2.0mm 宜蘭畜試 宜蘭縣五結鄉(合作站)                
      2.0mm 大農     花蓮縣光復鄉                       
      2.0mm 枋山     屏東縣枋山鄉                       
      2.0mm 力里     屏東縣春日鄉                       
      2.0mm 褒忠     雲林縣褒忠鄉                       
      2.0mm 銅門     花蓮縣秀林鄉                       
      2.0mm 和興     苗栗縣獅潭鄉(第2河川局)             
      2.0mm 樟原(1)  臺東縣長濱鄉(第8河川局)             
      2.0mm 大河     苗栗縣三灣鄉                       
      2.0mm 復興國小 基隆市七堵區(十河局)                
      2.0mm 白蘭     新竹縣五峰鄉                       
      2.0mm 北港(2)  雲林縣北港鎮(第5河川局)             
      2.0mm 鳥嘴山   新竹縣尖石鄉(第2河川局)             
      2.0mm 內獅     屏東縣獅子鄉                       
      2.0mm 月眉     高雄市杉林區                       
      2.0mm 崙背     雲林縣崙背鄉                       
      2.0mm 三義(2)  苗栗縣三義鄉(第2河川局)             
      2.0mm 南和     屏東縣來義鄉(第7河川局)             
      2.0mm 水試所臺 雲林縣臺西鄉                       
      2.0mm 元長     雲林縣元長鄉                       
      2.0mm 鳳美     苗栗縣南庄鄉                       
      2.0mm 水試所成 臺東縣成功鎮                       
      2.0mm 上里     臺東縣延平鄉(第8河川局)             
      2.0mm 國三S156 苗栗縣苑裡鎮(合作站)                
